,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,4wd,fwd,rwd,aspiration-turbo,aspiration-turbo
32,std,,hatchback,93.7,0.7208073041806824,0.8888888888888888,52.6,1837,,,0.24233128834355827,1bbl,2.91,3.07,10.1,60,5500.0,38.0,42,5399.0,6.184210526315789,Low,0,1.0,,inf,Low,0,1,0,0,0
33,std,,hatchback,93.7,0.7208073041806824,0.8888888888888888,52.6,1940,,,0.2822085889570552,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34,6529.0,7.833333333333332,Low,0,1.0,,inf,Low,0,1,0,0,0
34,std,,hatchback,93.7,0.7208073041806824,0.8888888888888888,52.6,1956,,,0.2822085889570552,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34,7129.0,7.833333333333332,Low,0,1.0,,inf,Low,0,1,0,0,0
35,std,,sedan,96.5,0.7851994233541567,0.8888888888888888,54.5,2010,,,0.2822085889570552,1bbl,2.91,3.41,9.2,76,6000.0,30.0,34,7295.0,7.833333333333332,Low,0,1.0,,inf,Low,0,1,0,0,0
36,std,,wagon,96.5,0.7549255165785679,0.8875,58.3,2024,,,0.2822085889570552,1bbl,2.92,3.41,9.2,76,6000.0,30.0,34,7295.0,7.833333333333332,Low,0,1.0,,inf,Low,0,1,0,0,0
37,std,,hatchback,96.5,0.8049014896684287,0.9055555555555556,53.3,2236,,,0.3374233128834356,1bbl,3.15,3.58,9,86,5800.0,27.0,33,7895.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
38,std,,hatchback,96.5,0.8049014896684287,0.9055555555555556,53.3,2289,,,0.3374233128834356,1bbl,3.15,3.58,9,86,5800.0,27.0,33,9095.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
39,std,,sedan,96.5,0.8428640076886112,0.9055555555555556,54.1,2304,,,0.3374233128834356,1bbl,3.15,3.58,9,86,5800.0,27.0,33,8845.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
40,std,,sedan,96.5,0.8428640076886112,0.8680555555555556,54.1,2372,,,0.3374233128834356,1bbl,3.15,3.58,9,86,5800.0,27.0,33,10295.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
41,std,,sedan,96.5,0.8428640076886112,0.9055555555555556,54.1,2465,,,0.3374233128834356,mpfi,3.15,3.58,9,101,5800.0,24.0,28,12945.0,9.791666666666666,Low,0,1.0,,inf,Low,0,1,0,0,0
42,std,,sedan,96.5,0.8125901009130225,0.9166666666666666,51,2293,,,0.3374233128834356,2bbl,3.15,3.58,9.1,100,5500.0,25.0,31,10345.0,9.4,Low,0,1.0,,inf,Low,0,1,0,0,0
43,std,,sedan,94.3,0.8202787121576165,0.8583333333333333,53.5,2337,,,0.34049079754601225,2bbl,3.31,3.23,8.5,78,4800.0,24.0,29,6785.0,9.791666666666666,Low,0,1.0,,inf,Low,0,0,1,0,0
44,std,,hatchback,96,0.8294089380105718,0.9055555555555556,51.4,2734,,,0.36503067484662577,spfi,3.43,3.23,9.2,90,5000.0,24.0,29,11048.0,9.791666666666666,Low,0,1.0,,inf,Low,0,0,1,0,0
45,std,,sedan,113,0.9591542527630946,0.9666666666666666,52.8,4066,,,0.7914110429447853,mpfi,3.63,4.17,8.1,176,4750.0,15.0,19,32250.0,15.666666666666664,High,0,1.0,,inf,High,0,0,1,0,0
46,std,,sedan,113,0.9591542527630946,0.9666666666666666,52.8,4066,,,0.7914110429447853,mpfi,3.63,4.17,8.1,176,4750.0,15.0,19,35550.0,15.666666666666664,High,0,1.0,,inf,High,0,0,1,0,0
47,std,,sedan,102,0.921191734742912,0.9805555555555556,47.8,3950,,,1.0,mpfi,3.54,2.76,11.5,262,5000.0,13.0,17,36000.0,18.076923076923077,,0,1.0,,inf,High,0,0,1,0,0
48,std,,hatchback,93.1,0.7645362806343105,0.8916666666666667,54.1,1890,,,0.2791411042944785,2bbl,3.03,3.15,9,68,5000.0,30.0,31,5195.0,7.833333333333332,Low,0,1.0,,inf,Low,0,1,0,0,0
49,std,,hatchback,93.1,0.7645362806343105,0.8916666666666667,54.1,1900,,,0.2791411042944785,2bbl,3.03,3.15,9,68,5000.0,31.0,38,6095.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
50,std,,hatchback,93.1,0.7645362806343105,0.8916666666666667,54.1,1905,,,0.2791411042944785,2bbl,3.03,3.15,9,68,5000.0,31.0,38,6795.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
51,std,,sedan,93.1,0.8015377222489188,0.8916666666666667,54.1,1945,,,0.2791411042944785,2bbl,3.03,3.15,9,68,5000.0,31.0,38,6695.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
52,std,,sedan,93.1,0.8015377222489188,0.8916666666666667,54.1,1950,,,0.2791411042944785,2bbl,3.08,3.15,9,68,5000.0,31.0,38,7395.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
53,std,,hatchback,95.3,0.8121095627102355,0.9125,49.6,2380,,,0.2147239263803681,4bbl,3.329751243781096,,9.4,101,6000.0,17.0,23,10945.0,13.823529411764708,Low,0,1.0,,inf,Low,0,0,1,0,0
54,std,,hatchback,95.3,0.8121095627102355,0.9125,49.6,2380,,,0.2147239263803681,4bbl,3.329751243781096,,9.4,101,6000.0,17.0,23,11845.0,13.823529411764708,Low,0,1.0,,inf,Low,0,0,1,0,0
55,std,,hatchback,95.3,0.8121095627102355,0.9125,49.6,2385,,,0.2147239263803681,4bbl,3.329751243781096,,9.4,101,6000.0,17.0,23,13645.0,13.823529411764708,Low,0,1.0,,inf,Low,0,0,1,0,0
56,std,,hatchback,95.3,0.8121095627102355,0.9125,49.6,2500,,,0.24539877300613497,mpfi,3.329751243781096,,9.4,135,6000.0,16.0,23,15645.0,14.6875,Medium,0,1.0,,inf,Low,0,0,1,0,0
57,std,,hatchback,98.8,0.8543969245555022,0.9236111111111112,53.7,2385,,,0.37423312883435583,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32,8845.0,9.038461538461537,Low,0,1.0,,inf,Low,0,1,0,0,0
58,std,,sedan,98.8,0.8543969245555022,0.9236111111111112,55.5,2410,,,0.37423312883435583,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32,8495.0,9.038461538461537,Low,0,1.0,,inf,Low,0,1,0,0,0
59,std,,hatchback,98.8,0.8543969245555022,0.9236111111111112,53.7,2385,,,0.37423312883435583,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32,10595.0,9.038461538461537,Low,0,1.0,,inf,Low,0,1,0,0,0
60,std,,sedan,98.8,0.8543969245555022,0.9236111111111112,55.5,2410,,,0.37423312883435583,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32,10245.0,9.038461538461537,Low,0,1.0,,inf,Low,0,1,0,0,0
61,std,,sedan,98.8,0.8543969245555022,0.9236111111111112,55.5,2443,,,0.37423312883435583,idi,3.39,3.39,22.7,64,4650.0,36.0,42,10795.0,6.527777777777778,Low,1,0.0,,235.0,Low,0,1,0,0,0
62,std,,hatchback,98.8,0.8543969245555022,0.9236111111111112,55.5,2425,,,0.37423312883435583,2bbl,3.39,3.39,8.6,84,4800.0,26.0,32,11245.0,9.038461538461537,Low,0,1.0,,inf,Low,0,1,0,0,0
63,std,,sedan,104.9,0.8409418548774628,0.9180555555555556,54.4,2670,,,0.4294478527607362,mpfi,3.76,3.16,8,120,5000.0,19.0,27,18280.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,0,1,0,0
64,std,,sedan,104.9,0.8409418548774628,0.9180555555555556,54.4,2700,,,0.4110429447852761,idi,3.43,3.64,22,72,4200.0,31.0,39,18344.0,7.580645161290323,Low,1,0.0,,235.0,Low,0,0,1,0,0
65,turbo,,sedan,110,0.9173474291206152,0.9763888888888888,56.5,3515,,,0.5613496932515337,idi,3.58,3.64,21.5,123,4350.0,22.0,25,25552.0,10.681818181818182,Medium,1,0.0,,235.0,Medium,0,0,1,0,0
66,turbo,,wagon,110,0.9173474291206152,0.9763888888888888,58.7,3750,,,0.5613496932515337,idi,3.58,3.64,21.5,123,4350.0,22.0,25,28248.0,10.681818181818182,Medium,1,0.0,,235.0,Medium,0,0,1,0,0
67,turbo,,hardtop,106.7,0.9010091302258528,0.9763888888888888,54.9,3495,,,0.5613496932515337,idi,3.58,3.64,21.5,123,4350.0,22.0,25,28176.0,10.681818181818182,Medium,1,0.0,,235.0,Medium,0,0,1,0,0
68,turbo,,sedan,115.6,0.9735703988467084,0.9958333333333332,56.3,3770,,,0.5613496932515337,idi,3.58,3.64,21.5,123,4350.0,22.0,25,31600.0,10.681818181818182,Medium,1,0.0,,235.0,Medium,0,0,1,0,0
69,std,,sedan,115.6,0.9735703988467084,0.9958333333333332,56.5,3740,,,0.7177914110429447,mpfi,3.46,3.1,8.3,155,4750.0,16.0,18,34184.0,14.6875,Medium,0,1.0,,inf,High,0,0,1,0,0
70,std,,convertible,96.6,0.8664103796251803,0.9791666666666666,50.8,3685,,,0.7177914110429447,mpfi,3.46,3.1,8.3,155,4750.0,16.0,18,35056.0,14.6875,Medium,0,1.0,,inf,High,0,0,1,0,0
71,std,,sedan,120.9,1,0.9958333333333332,56.7,3900,,,0.9447852760736196,mpfi,3.8,3.35,8,184,4500.0,14.0,16,40960.0,16.785714285714285,High,0,1.0,,inf,High,0,0,1,0,0
72,std,,hardtop,112,0.957232099951946,1,55.4,3715,,,0.9325153374233128,mpfi,3.8,3.35,8,184,4500.0,14.0,16,45400.0,16.785714285714285,High,0,1.0,,inf,High,0,0,1,0,0
73,turbo,,hatchback,102.7,0.8572801537722249,0.9444444444444444,54.8,2910,,,0.4294478527607362,mpfi,3.78,3.12,8,175,5000.0,19.0,24,16503.0,12.36842105263158,High,0,1.0,,inf,Low,0,0,1,0,0
74,std,,hatchback,93.7,0.7558865929841423,0.8944444444444445,50.8,1918,,,0.2822085889570552,2bbl,2.97,3.23,9.4,68,5500.0,37.0,41,5389.0,6.351351351351353,Low,0,1.0,,inf,Low,0,1,0,0,0
75,std,,hatchback,93.7,0.7558865929841423,0.8944444444444445,50.8,1944,,,0.2822085889570552,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,6189.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
76,std,,hatchback,93.7,0.7558865929841423,0.8944444444444445,50.8,2004,,,0.2822085889570552,2bbl,2.97,3.23,9.4,68,5500.0,31.0,38,6669.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
77,turbo,,hatchback,93,0.7558865929841423,0.8861111111111111,50.8,2145,,,0.3006134969325153,spdi,3.03,3.39,7.6,102,5500.0,24.0,30,7689.0,9.791666666666666,Medium,0,1.0,,inf,Low,0,1,0,0,0
78,turbo,,hatchback,96.3,0.8313310908217203,0.9083333333333334,49.4,2370,,,0.3374233128834356,spdi,3.17,3.46,7.5,116,5500.0,23.0,30,9959.0,10.217391304347826,Medium,0,1.0,,inf,Low,0,1,0,0,0
79,std,,hatchback,96.3,0.8313310908217203,0.9083333333333334,49.4,2328,,,0.37423312883435583,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32,8499.0,9.4,Low,0,1.0,,inf,Low,0,1,0,0,0
80,turbo,,hatchback,95.9,0.8322921672272945,0.9208333333333332,50.2,2833,,,0.4785276073619632,spdi,3.58,3.86,7,145,5000.0,19.0,24,12629.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
81,turbo,,hatchback,95.9,0.8322921672272945,0.9208333333333332,50.2,2921,,,0.4785276073619632,spdi,3.59,3.86,7,145,5000.0,19.0,24,14869.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
82,turbo,,hatchback,95.9,0.8322921672272945,0.9208333333333332,50.2,2926,,,0.4785276073619632,spdi,3.59,3.86,7,145,5000.0,19.0,24,14489.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
83,std,,sedan,96.3,0.8284478616049976,0.9083333333333334,51.6,2365,,,0.37423312883435583,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32,6989.0,9.4,Low,0,1.0,,inf,Low,0,1,0,0,0
84,std,,sedan,96.3,0.8284478616049976,0.9083333333333334,51.6,2405,,,0.37423312883435583,2bbl,3.35,3.46,8.5,88,5000.0,25.0,32,8189.0,9.4,Low,0,1.0,,inf,Low,0,1,0,0,0
85,turbo,,sedan,96.3,0.8284478616049976,0.9083333333333334,51.6,2403,,,0.3374233128834356,spdi,3.17,3.46,7.5,116,5500.0,23.0,30,9279.0,10.217391304347826,Medium,0,1.0,,inf,Low,0,1,0,0,0
86,std,,sedan,96.3,0.8284478616049976,0.9083333333333334,51.6,2403,,,0.3374233128834356,spdi,3.17,3.46,7.5,116,5500.0,23.0,30,9279.0,10.217391304347826,Medium,0,1.0,,inf,Low,0,1,0,0,0
87,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,1889,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,5499.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
88,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,2017,,,0.3159509202453988,idi,2.99,3.47,21.9,55,4800.0,45.0,50,7099.0,5.222222222222221,Low,1,0.0,,235.0,Low,0,1,0,0,0
89,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,1918,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,6649.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
90,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,1938,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,6849.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
91,std,,wagon,94.5,0.8178760211436809,0.8861111111111111,53.5,2024,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,7349.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
92,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,1951,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,7299.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
93,std,,hatchback,94.5,0.7957712638154734,0.8861111111111111,53.3,2028,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,7799.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
94,std,,sedan,94.5,0.794329649207112,0.8861111111111111,54.5,1971,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,7499.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
95,std,,wagon,94.5,0.8178760211436809,0.8861111111111111,53.5,2037,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,7999.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
96,std,,hardtop,95.1,0.7803940413262855,0.8861111111111111,53.3,2008,,,0.29754601226993865,2bbl,3.15,3.29,9.4,69,5200.0,31.0,37,8249.0,7.580645161290323,Low,0,1.0,,inf,Low,0,1,0,0,0
97,std,,hatchback,97.2,0.8332532436328689,0.9055555555555556,54.7,2324,,,0.36809815950920244,2bbl,3.33,3.47,8.5,97,5200.0,27.0,34,8949.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
98,std,,sedan,97.2,0.8332532436328689,0.9055555555555556,54.7,2302,,,0.36809815950920244,2bbl,3.33,3.47,8.5,97,5200.0,27.0,34,9549.0,8.703703703703704,Low,0,1.0,,inf,Low,0,1,0,0,0
99,std,,sedan,100.4,0.8731379144641999,0.9236111111111112,55.1,3095,,,0.5552147239263804,mpfi,3.43,3.27,9,152,5200.0,17.0,22,13499.0,13.823529411764708,Medium,0,1.0,,inf,Low,0,1,0,0,0
100,std,,wagon,100.4,0.8870735223450265,0.9236111111111112,56.1,3296,,,0.5552147239263804,mpfi,3.43,3.27,9,152,5200.0,17.0,22,14399.0,13.823529411764708,Medium,0,1.0,,inf,Low,0,1,0,0,0
101,std,,sedan,100.4,0.8870735223450265,0.9236111111111112,55.1,3060,,,0.5552147239263804,mpfi,3.43,3.27,9,152,5200.0,19.0,25,13499.0,12.36842105263158,Medium,0,1.0,,inf,Low,0,1,0,0,0
102,std,,hatchback,91.3,0.8202787121576165,0.9430555555555556,49.7,3071,,,0.5552147239263804,mpfi,3.43,3.27,9,160,5200.0,19.0,25,17199.0,12.36842105263158,High,0,1.0,,inf,Low,0,0,1,0,0
103,turbo,,hatchback,91.3,0.8202787121576165,0.9430555555555556,49.7,3139,,,0.5552147239263804,mpfi,3.43,3.27,7.8,200,5200.0,17.0,23,19699.0,13.823529411764708,High,0,1.0,,inf,Medium,0,0,1,0,0
104,std,,hatchback,99.2,0.8577606919750121,0.9430555555555556,49.7,3139,,,0.5552147239263804,mpfi,3.43,3.27,9,160,5200.0,19.0,25,18399.0,12.36842105263158,High,0,1.0,,inf,Low,0,0,1,0,0
105,std,,sedan,107.9,0.897164824603556,0.95,56.7,3020,,,0.36809815950920244,mpfi,3.46,3.19,8.4,97,5000.0,19.0,24,11900.0,12.36842105263158,Low,0,1.0,,inf,Low,0,0,1,0,0
106,turbo,,sedan,107.9,0.897164824603556,0.95,56.7,3197,,,0.4662576687116564,idi,3.7,3.52,21,95,4150.0,28.0,33,13200.0,8.392857142857142,Low,1,0.0,,235.0,Low,0,0,1,0,0
107,std,,wagon,114.2,0.9557904853435848,0.95,58.7,3230,,,0.36809815950920244,mpfi,3.46,3.19,8.4,97,5000.0,19.0,24,12440.0,12.36842105263158,Low,0,1.0,,inf,Low,0,0,1,0,0
108,turbo,,wagon,114.2,0.9557904853435848,0.95,58.7,3430,,,0.4662576687116564,idi,3.7,3.52,21,95,4150.0,25.0,25,13860.0,9.4,Low,1,0.0,,235.0,Low,0,0,1,0,0
109,std,,sedan,107.9,0.897164824603556,0.95,56.7,3075,,,0.36809815950920244,mpfi,3.46,2.19,8.4,95,5000.0,19.0,24,15580.0,12.36842105263158,Low,0,1.0,,inf,Low,0,0,1,0,0
110,turbo,,sedan,107.9,0.897164824603556,0.95,56.7,3252,,,0.4662576687116564,idi,3.7,3.52,21,95,4150.0,28.0,33,16900.0,8.392857142857142,Low,1,0.0,,235.0,Low,0,0,1,0,0
111,std,,wagon,114.2,0.9557904853435848,0.95,56.7,3285,,,0.36809815950920244,mpfi,3.46,2.19,8.4,95,5000.0,19.0,24,16695.0,12.36842105263158,Low,0,1.0,,inf,Low,0,0,1,0,0
112,turbo,,wagon,114.2,0.9557904853435848,0.95,58.7,3485,,,0.4662576687116564,idi,3.7,3.52,21,95,4150.0,25.0,25,17075.0,9.4,Low,1,0.0,,235.0,Low,0,0,1,0,0
113,std,,sedan,107.9,0.897164824603556,0.95,56.7,3075,,,0.36809815950920244,mpfi,3.46,3.19,8.4,97,5000.0,19.0,24,16630.0,12.36842105263158,Low,0,1.0,,inf,Low,0,0,1,0,0
114,turbo,,sedan,107.9,0.897164824603556,0.95,56.7,3252,,,0.4662576687116564,idi,3.7,3.52,21,95,4150.0,28.0,33,17950.0,8.392857142857142,Low,1,0.0,,235.0,Low,0,0,1,0,0
115,turbo,,sedan,108,0.897164824603556,0.9486111111111112,56,3130,,,0.4110429447852761,mpfi,3.61,3.21,7,142,5600.0,18.0,24,18150.0,13.055555555555555,Medium,0,1.0,,inf,Low,0,0,1,0,0
116,std,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.8,1918,,,0.27607361963190186,2bbl,2.97,3.23,9.4,68,5500.0,37.0,41,5572.0,6.351351351351353,Low,0,1.0,,inf,Low,0,1,0,0,0
117,turbo,,hatchback,93.7,0.7558865929841423,0.8861111111111111,50.8,2128,,,0.3006134969325153,spdi,3.03,3.39,7.6,102,5500.0,24.0,30,7957.0,9.791666666666666,Medium,0,1.0,,inf,Low,0,1,0,0,0
